,state_number,consecutive_number,vehicle_number,driver_distracted_by,driver_distracted_by_name
543,33,330104,1,0,Not Distracted
544,33,330099,1,0,Not Distracted
545,33,330098,1,0,Not Distracted
546,33,330096,1,0,Not Distracted
547,33,330093,1,0,Not Distracted
548,30,300169,1,0,Not Distracted
549,30,300090,1,0,Not Distracted
550,30,300112,1,0,Not Distracted
551,30,300111,1,0,Not Distracted
552,30,300109,1,0,Not Distracted
553,30,300108,1,0,Not Distracted
554,30,300107,1,0,Not Distracted
555,30,300105,1,0,Not Distracted
556,30,300100,1,0,Not Distracted
557,30,300098,1,0,Not Distracted
558,30,300096,1,0,Not Distracted
559,30,300095,1,0,Not Distracted
560,30,300093,1,0,Not Distracted
561,30,300119,1,0,Not Distracted
562,30,300085,1,0,Not Distracted
563,30,300083,1,0,Not Distracted
564,30,300082,1,0,Not Distracted
565,30,300080,1,0,Not Distracted
566,30,300077,1,0,Not Distracted
567,30,300076,1,0,Not Distracted
568,30,300074,1,0,Not Distracted
569,30,300073,1,0,Not Distracted
570,30,300072,1,0,Not Distracted
571,30,300068,1,0,Not Distracted
572,30,300064,1,0,Not Distracted
573,30,300062,1,0,Not Distracted
574,30,300142,1,0,Not Distracted
575,30,300165,1,0,Not Distracted
576,30,300162,1,0,Not Distracted
577,30,300156,1,0,Not Distracted
578,30,300155,1,0,Not Distracted
579,30,300153,1,0,Not Distracted
580,30,300152,1,0,Not Distracted
581,30,300150,1,0,Not Distracted
582,30,300146,1,0,Not Distracted
583,30,300140,1,0,Not Distracted
584,30,300138,1,0,Not Distracted
585,30,300134,1,0,Not Distracted
586,30,300133,1,0,Not Distracted
587,30,300130,1,0,Not Distracted
588,30,300126,1,0,Not Distracted
589,30,300124,1,0,Not Distracted
590,30,300061,1,0,Not Distracted
591,30,300011,1,0,Not Distracted
592,30,300010,1,0,Not Distracted
593,30,300006,1,0,Not Distracted
594,30,300005,1,0,Not Distracted
595,30,300004,1,0,Not Distracted
596,30,300013,1,0,Not Distracted
597,30,300038,1,0,Not Distracted
598,30,300060,1,0,Not Distracted
599,30,300058,1,0,Not Distracted
600,30,300055,1,0,Not Distracted
601,30,300054,1,0,Not Distracted
602,30,300053,1,0,Not Distracted
603,30,300043,1,0,Not Distracted
604,30,300042,1,0,Not Distracted
605,30,300040,1,0,Not Distracted
606,30,300036,1,0,Not Distracted
607,30,300033,1,0,Not Distracted
608,30,300032,1,0,Not Distracted
609,30,300027,1,0,Not Distracted
610,30,300026,1,0,Not Distracted
611,30,300024,1,0,Not Distracted
612,30,300022,1,0,Not Distracted
613,30,300021,1,0,Not Distracted
614,30,300020,1,0,Not Distracted
615,30,300018,1,0,Not Distracted
616,30,300016,1,0,Not Distracted
617,56,560048,1,0,Not Distracted
618,56,560047,1,0,Not Distracted
619,56,560045,1,0,Not Distracted
620,56,560043,1,0,Not Distracted
621,56,560040,1,0,Not Distracted
622,56,560038,1,0,Not Distracted
623,56,560035,1,0,Not Distracted
624,56,560034,1,0,Not Distracted
625,56,560024,1,0,Not Distracted
626,56,560017,1,0,Not Distracted
627,56,560014,1,0,Not Distracted
628,56,560011,1,0,Not Distracted
629,56,560098,1,0,Not Distracted
630,56,560097,1,0,Not Distracted
631,56,560096,1,0,Not Distracted
632,56,560095,1,0,Not Distracted
633,56,560094,1,0,Not Distracted
634,56,560093,1,0,Not Distracted
635,56,560091,1,0,Not Distracted
636,56,560088,1,0,Not Distracted
637,56,560083,1,0,Not Distracted
638,56,560010,1,0,Not Distracted
639,56,560079,1,0,Not Distracted
640,56,560078,1,0,Not Distracted
641,56,560076,1,0,Not Distracted
642,56,560074,1,0,Not Distracted
643,56,560073,1,0,Not Distracted
644,56,560051,1,0,Not Distracted
645,56,560008,1,0,Not Distracted
646,56,560005,1,0,Not Distracted
647,56,560002,1,0,Not Distracted
648,56,560001,1,0,Not Distracted
649,50,500007,1,0,Not Distracted
650,50,500006,1,0,Not Distracted
651,50,500004,1,0,Not Distracted
652,50,500003,1,0,Not Distracted
653,50,500002,1,0,Not Distracted
654,50,500001,1,0,Not Distracted
655,50,500008,1,0,Not Distracted
656,50,500057,1,0,Not Distracted
657,50,500020,1,0,Not Distracted
658,50,500031,1,0,Not Distracted
659,50,500030,1,0,Not Distracted
660,50,500029,1,0,Not Distracted
661,50,500028,1,0,Not Distracted
662,50,500027,1,0,Not Distracted
663,50,500025,1,0,Not Distracted
664,50,500024,1,0,Not Distracted
665,50,500023,1,0,Not Distracted
666,50,500022,1,0,Not Distracted
667,50,500021,1,0,Not Distracted
668,50,500032,1,0,Not Distracted
669,50,500019,1,0,Not Distracted
670,50,500018,1,0,Not Distracted
671,50,500016,1,0,Not Distracted
672,50,500015,1,0,Not Distracted
673,50,500014,1,0,Not Distracted
674,50,500013,1,0,Not Distracted
675,50,500012,1,0,Not Distracted
676,50,500011,1,0,Not Distracted
677,50,500010,1,0,Not Distracted
678,50,500045,1,0,Not Distracted
679,50,500056,1,0,Not Distracted
680,50,500055,1,0,Not Distracted
681,50,500054,1,0,Not Distracted
682,50,500053,1,0,Not Distracted
683,50,500052,1,0,Not Distracted
684,50,500051,1,0,Not Distracted
685,50,500050,1,0,Not Distracted
686,50,500049,1,0,Not Distracted
687,50,500048,1,0,Not Distracted
688,50,500047,1,0,Not Distracted
689,50,500044,1,0,Not Distracted
690,50,500043,1,0,Not Distracted
691,50,500042,1,0,Not Distracted
692,50,500041,1,0,Not Distracted
693,50,500040,1,0,Not Distracted
694,50,500039,1,0,Not Distracted
695,50,500038,1,0,Not Distracted
696,50,500037,1,0,Not Distracted
697,50,500036,1,0,Not Distracted
698,50,500035,1,0,Not Distracted
699,50,500034,1,0,Not Distracted
700,50,500033,1,0,Not Distracted
701,46,460098,1,0,Not Distracted
702,46,460096,1,0,Not Distracted
703,46,460094,1,0,Not Distracted
704,46,460093,1,0,Not Distracted
705,46,460092,1,0,Not Distracted
706,46,460091,1,0,Not Distracted
707,46,460090,1,0,Not Distracted
708,46,460089,1,0,Not Distracted
709,46,460088,1,0,Not Distracted
710,46,460087,1,0,Not Distracted
711,46,460081,1,0,Not Distracted
712,46,460099,1,0,Not Distracted
713,46,460078,1,0,Not Distracted
714,46,460076,1,0,Not Distracted
715,46,460075,1,0,Not Distracted
716,46,460074,1,0,Not Distracted
717,46,460070,1,0,Not Distracted
718,46,460069,1,0,Not Distracted
719,46,460066,1,0,Not Distracted
720,46,460064,1,0,Not Distracted
721,46,460063,1,0,Not Distracted
722,46,460103,1,0,Not Distracted
723,46,460102,1,0,Not Distracted
724,46,460101,1,0,Not Distracted
725,46,460100,1,0,Not Distracted
726,46,460024,1,0,Not Distracted
727,46,460021,1,0,Not Distracted
728,46,460020,1,0,Not Distracted
729,46,460018,1,0,Not Distracted
730,46,460017,1,0,Not Distracted
731,46,460016,1,0,Not Distracted
732,46,460015,1,0,Not Distracted
733,46,460014,1,0,Not Distracted
734,46,460013,1,0,Not Distracted
735,46,460012,1,0,Not Distracted
736,46,460011,1,0,Not Distracted
737,46,460010,1,0,Not Distracted
738,46,460007,1,0,Not Distracted
739,46,460005,1,0,Not Distracted
740,46,460001,1,0,Not Distracted
741,46,460061,1,0,Not Distracted
742,46,460058,1,0,Not Distracted
743,46,460057,1,0,Not Distracted
744,46,460056,1,0,Not Distracted
745,46,460054,1,0,Not Distracted
746,46,460053,1,0,Not Distracted
747,46,460052,1,0,Not Distracted
748,46,460051,1,0,Not Distracted
749,46,460047,1,0,Not Distracted
750,46,460046,1,0,Not Distracted
751,46,460044,1,0,Not Distracted
752,46,460043,1,0,Not Distracted
753,46,460042,1,0,Not Distracted
754,46,460041,1,0,Not Distracted
755,46,460038,1,0,Not Distracted
756,46,460037,1,0,Not Distracted
757,46,460036,1,0,Not Distracted
758,46,460035,1,0,Not Distracted
759,46,460029,1,0,Not Distracted
760,46,460028,1,0,Not Distracted
761,46,460027,1,0,Not Distracted
762,46,460026,1,0,Not Distracted
763,46,460025,1,0,Not Distracted
